Time;Time Code;Country Name;Country Code;Life expectancy at birth, total (years) [SP.DYN.LE00.IN];GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD];Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI];Gini index [SI.POV.GINI];Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]
2019;YR2019;Kiribati;KIR;65.866;2762.937969;0.76;27.8;19.8
2019;YR2019;Korea, Dem. People's Rep.;PRK;72.928;..;4.29;..;10.05
2019;YR2019;Korea, Rep.;KOR;83.22682927;46511.2197;8.19;33.2;28.44
2019;YR2019;Kosovo;XKX;77.249;10861.05317;..;40.2;..
2019;YR2019;Kuwait;KWT;81.9697561;50703.00013;0;..;1.9
2019;YR2019;Kyrgyz Republic;KGZ;71.6;5304.227583;4.95;29.7;8.6
2019;YR2019;Lao PDR;LAO;67.911;7743.219065;11.52;..;4.55
2019;YR2019;Latvia;LVA;75.38780488;32199.09604;13.09;34.5;17.16
2019;YR2019;Lebanon;LBN;78.208;21710.46488;1.48;..;0.7
2019;YR2019;Lesotho;LSO;55.249;2568.341144;4.54;..;28.77
2019;YR2019;Liberia;LBR;61.232;1899.52201;3.64;..;5.87
2019;YR2019;Libya;LBY;72.941;16194.10821;0.008;..;5.95
2019;YR2019;Liechtenstein;LIE;84.16097561;..;..;..;..
2019;YR2019;Lithuania;LTU;76.28292683;40563.83049;11.79;35.3;26.33
2019;YR2019;Luxembourg;LUX;82.63902439;121371.7399;11.53;34.2;11.16
2019;YR2019;Macao SAR, China;MAC;83.92926829;126029.6224;..;..;..
2019;YR2019;Madagascar;MDG;63.504;1612.297727;1.02;..;5.96
2019;YR2019;Malawi;MWI;64.995;1450.010081;3.24;38.5;7.27
2019;YR2019;Malaysia;MYS;75.9;28933.9283;0.76;..;5.35
2019;YR2019;Maldives;MDV;79.707;23077.21122;1.43;29.3;2.51
2019;YR2019;Mali;MLI;59.217;2819.865823;4.35;..;4.03
2019;YR2019;Malta;MLT;82.65853659;51392.81528;8.52;31;5.95
2019;YR2019;Marshall Islands;MHL;66.047;6045.062408;..;35.5;..
2019;YR2019;Mauritania;MRT;67.64;5610.132367;0;32;2.75
2019;YR2019;Mauritius;MUS;74.23585366;24374.78183;7.52;..;9.76
2019;YR2019;Mexico;MEX;74.53;20964.27748;5.72;..;6.15
2019;YR2019;Micronesia, Fed. Sts.;FSM;66.196;3718.792084;2.12;..;20.52
2019;YR2019;Moldova;MDA;70.181;13413.22329;11.36;26;12.68
2019;YR2019;Monaco;MCO;86.151;..;..;..;..
2019;YR2019;Mongolia;MNG;71.05317073;13604.97894;7.93;..;17.33
2019;YR2019;Montenegro;MNE;76.68292683;23705.52487;10.34;35.7;14.13
2019;YR2019;Morocco;MAR;74.245;8046.229004;0.49;..;3.22
2019;YR2019;Mozambique;MOZ;61.306;1388.79707;2.03;50.7;11.59
2019;YR2019;Myanmar;MMR;66.457;6101.372458;2.12;..;3.06
2019;YR2019;Namibia;NAM;63.546;9609.485557;5.93;..;8.3
2019;YR2019;Nauru;NRU;61.393;10554.52185;2.94;..;..
2019;YR2019;Nepal;NPL;69.299;4260.673732;1.36;..;10.56
2019;YR2019;Netherlands;NLD;82.11219512;62345.25385;9.3;29.2;11.05
2019;YR2019;New Caledonia;NCL;77.262;..;..;..;..
2019;YR2019;New Zealand;NZL;82.05609756;45278.45872;9.89;..;11.81
2019;YR2019;Nicaragua;NIC;73.764;5981.108764;4.17;..;4.65
2019;YR2019;Niger;NER;60.031;1419.168051;0.13;..;4.54
2019;YR2019;Nigeria;NGA;53.009;7551.393804;4.21;..;4.41
2019;YR2019;North Macedonia;MKD;76.60243902;20222.59548;4.62;33.5;5.02
2019;YR2019;Northern Mariana Islands;MNP;77.844;..;..;..;..
2019;YR2019;Norway;NOR;82.95853659;70939.60552;6.8;27.7;12.57
2019;YR2019;Oman;OMN;79.946;37250.61108;0.88;..;2
2019;YR2019;Pakistan;PAK;66.729;5037.534016;0.1;..;6.09
2019;YR2019;Palau;PLW;68.982;18421.90346;..;..;..
2019;YR2019;Panama;PAN;78.514;33239.73323;6.6;49.8;2.55
2019;YR2019;Papua New Guinea;PNG;65.331;4059.828602;1.7;..;2.07
2019;YR2019;Paraguay;PRY;73.668;14149.59852;5.6;45.7;7.93
2019;YR2019;Peru;PER;76.275;13563.53729;7.45;41.5;2.19
2019;YR2019;Philippines;PHL;69.68;8924.101164;6.18;..;3.04
2019;YR2019;Poland;POL;77.90487805;35882.36551;11.63;28.8;13.7
2019;YR2019;Portugal;PRT;81.67560976;37865.56036;10.45;32.8;12.66
2019;YR2019;Puerto Rico (US);PRI;81.438;36217.72044;..;..;5.72
2019;YR2019;Qatar;QAT;82.945;107502.5679;1.15;..;6.96
2019;YR2019;Romania;ROU;75.60731707;33425.32617;16.99;34.8;9.17
2019;YR2019;Russian Federation;RUS;73.08390244;30963.85352;10.42;35.7;24.47
2019;YR2019;Rwanda;RWA;66.691;2336.039673;1.88;..;8.29
2019;YR2019;Samoa;WSM;70.269;6638.184548;2.39;..;12.9
2019;YR2019;San Marino;SMR;85.257;57444.11936;..;..;..
2019;YR2019;Sao Tome and Principe;STP;68.043;4655.484964;5.01;..;0.87
2019;YR2019;Saudi Arabia;SAU;78.313;59560.25379;0;..;1.09
2019;YR2019;Senegal;SEN;67.668;3647.951374;0.41;..;6.98
2019;YR2019;Serbia;SRB;75.93658537;20587.38254;7.89;34.5;15.75
2019;YR2019;Seychelles;SYC;74.04634146;34219.06137;11.99;..;7.96
2019;YR2019;Sierra Leone;SLE;59.593;2704.058359;0.26;..;6.14
2019;YR2019;Singapore;SGP;83.59512195;105335.292;1.87;..;8.42
2019;YR2019;Sint Maarten (Dutch part);SXM;75.68;45715.69705;..;..;..
2019;YR2019;Slovak Republic;SVK;77.66585366;33985.67584;10.48;23.2;9.02
2019;YR2019;Slovenia;SVN;81.52926829;42373.25064;10.98;24.4;19.34
2019;YR2019;Solomon Islands;SLB;69.981;2512.01388;1.62;..;20.43
2019;YR2019;Somalia, Fed. Rep.;SOM;57.249;1548.272509;0;..;7.92
2019;YR2019;South Africa;ZAF;66.071;13361.48513;8.77;..;20.14
2019;YR2019;South Sudan;SSD;58.129;..;..;..;7.25
2019;YR2019;Spain;ESP;83.83170732;44042.75758;10.91;34.3;8.1
2019;YR2019;Sri Lanka;LKA;76.698;14112.9525;2.83;37.7;15.94
2019;YR2019;St. Kitts and Nevis;KNA;71.54;32482.09442;6.34;..;..
2019;YR2019;St. Lucia;LCA;72.249;18709.91107;9.47;..;7.23
2019;YR2019;St. Martin (French part);MAF;80.078;..;..;..;..
2019;YR2019;St. Vincent and the Grenadines;VCT;70.994;15339.55603;7.16;..;0.32
2019;YR2019;Sudan;SDN;65.803;3914.225586;0.005;..;3.39
2019;YR2019;Suriname;SUR;71.773;19771.54739;6.63;..;26.32
2019;YR2019;Sweden;SWE;83.1097561;57046.44631;9.3;29.3;14.6
2019;YR2019;Switzerland;CHE;83.90487805;73732.23533;10.4;34;14.23
2019;YR2019;Syrian Arab Republic;SYR;70.97;3502.175115;0.2;..;0.62
2019;YR2019;Tajikistan;TJK;70.962;3459.973651;0.87;..;2.61
2019;YR2019;Tanzania;TZA;66.007;2981.874512;10.36;..;4.48
2019;YR2019;Thailand;THA;77.197;19963.39184;7.85;34.9;13.55
2019;YR2019;Timor-Leste;TLS;66.496;4556.614257;0.4;..;3.81
2019;YR2019;Togo;TGO;61.061;2214.699156;1.42;..;9.77
2019;YR2019;Tonga;TON;72.292;6473.320587;0.38;..;4.65
2019;YR2019;Trinidad and Tobago;TTO;72.836;29315.80541;6.06;..;13.76
2019;YR2019;Tunisia;TUN;75.599;12494.79057;2.01;..;2.58
2019;YR2019;Turkiye;TUR;77.737;29016.45557;1.82;43.8;3.54
2019;YR2019;Turkmenistan;TKM;69.405;15477.72376;2.93;..;6.9
2019;YR2019;Turks and Caicos Islands;TCA;77.691;31173.37978;..;..;..
2019;YR2019;Tuvalu;TUV;66.109;5209.700021;1.25;..;..
2019;YR2019;Uganda;UGA;66.354;2441.374452;12.21;42.7;5.14
2019;YR2019;Ukraine;UKR;73.92;14217.48633;8.7;26.6;23.29
2019;YR2019;United Arab Emirates;ARE;82.596;79816.30109;2.37;..;2.46
2019;YR2019;United Kingdom;GBR;81.36912195;50064.96056;10.82;32.8;9.39
2019;YR2019;United States;USA;78.78780488;65227.95659;9.57;41.9;15.11
2019;YR2019;Uruguay;URY;77.503;25782.68902;5.45;39.7;23.4
2019;YR2019;Uzbekistan;UZB;72.093;8544.080267;2.6;..;10.14
2019;YR2019;Vanuatu;VUT;70.783;3314.667214;1.87;32.3;16.15
2019;YR2019;Venezuela, RB;VEN;72.766;..;3.02;..;7.17
2019;YR2019;Viet Nam;VNM;74.211;11029.27321;9.34;..;7.53
2019;YR2019;Virgin Islands (U.S.);VIR;79.66829268;40021.77758;..;..;..
2019;YR2019;West Bank and Gaza;PSE;75.811;6508.448351;..;..;0.66
2019;YR2019;Yemen, Rep.;YEM;66.567;..;0.028;..;4.33
2019;YR2019;Zambia;ZMB;62.914;3361.397503;3.85;..;5.76
2019;YR2019;Zimbabwe;ZWE;61.06;4165.555678;3.63;50.3;15.84
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
